,src,nei,d,d_est,d_err_absolute,d_err_relative
0,12:2E,04:20,1.8515128949051394,1.851825,0.00031210509486068183,0.00016856760529160249
1,12:2E,04:20,1.8515128949051394,1.8478448,0.0036680949051393075,0.001981133869082364
2,12:2E,04:20,1.8515128949051394,1.8649532,0.013440305094860605,0.007259093432103376
3,12:2E,04:20,1.8515128949051394,1.8443636,0.00714929490513927,0.0038613260133441075
4,12:2E,04:20,1.8515128949051394,1.8607422,0.00922930509486064,0.0049847371413168015
5,12:2E,04:20,1.8515128949051394,1.8690883,0.017575405094860663,0.009492456219572332
6,12:2E,04:20,1.8515128949051394,1.8550814,0.003568505094860619,0.0019273455262883536
7,12:2E,04:20,1.8515128949051394,1.8379091,0.0136037949051393,0.007347394091919774
8,12:2E,04:20,1.8515128949051394,1.8258693,0.025643594905139455,0.013850076321749453
9,12:2E,04:20,1.8515128949051394,1.844178,0.0073348949051392776,0.003961568361377831
10,12:2E,04:20,1.8515128949051394,1.8510847,0.00042819490513945624,0.00023126757924167438
11,12:2E,04:20,1.8515128949051394,1.8893821,0.03786920509486058,0.020453114422841097
12,12:2E,04:20,1.8515128949051394,1.8721535,0.020640605094860653,0.011147967238930927
13,12:2E,04:20,1.8515128949051394,1.8583959,0.006883005094860728,0.003717503190931529
14,12:2E,04:20,1.8515128949051394,1.8850611,0.03354820509486056,0.01811934725768106
15,12:2E,04:20,1.8515128949051394,1.8801857,0.028672805094860587,0.015486149285678949
16,12:2E,04:20,1.8515128949051394,1.8547666,0.0032537050948606705,0.0017573224058087757
17,12:2E,04:20,1.8515128949051394,1.8516289,0.00011600509486053845,6.26542192494327e-05
18,12:2E,04:20,1.8515128949051394,1.8487854,0.0027274949051394604,0.001473116883303803
19,12:2E,04:20,1.8515128949051394,1.8543708,0.0028579050948607243,0.001543551277836035
20,12:2E,04:20,1.8515128949051394,1.8573806,0.005867705094860565,0.0031691408204646567
21,12:2E,04:20,1.8515128949051394,1.8778036,0.026290705094860645,0.014199579796179397
22,12:2E,04:20,1.8515128949051394,1.8663458,0.014832905094860571,0.008011235101671016
23,12:2E,04:20,1.8515128949051394,1.9041634,0.05265050509486069,0.02843647767171408
24,12:2E,04:20,1.8515128949051394,1.8670931,0.015580205094860577,0.008414850978209803
25,12:2E,04:20,1.8515128949051394,1.886353,0.034840105094860574,0.018817100972254138
26,12:2E,04:20,1.8515128949051394,1.8741473,0.022634405094860588,0.012224816341892257
27,12:2E,04:20,1.8515128949051394,1.8601779,0.008665005094860678,0.004679959355781112
28,12:2E,04:20,1.8515128949051394,1.8559859,0.004473005094860705,0.002415864943295399
29,12:2E,04:20,1.8515128949051394,1.8546376,0.0031247050948606248,0.0016876496531344526
30,12:2E,04:20,1.8515128949051394,1.8427267,0.008786194905139322,0.004745413833906609
31,12:2E,04:20,1.8515128949051394,1.8515446,3.170509486061235e-05,1.712388552510553e-05
32,12:2E,04:20,1.8515128949051394,1.86966,0.018147105094860727,0.009801230736656834
33,12:2E,04:20,1.8515128949051394,1.8669823,0.015469405094860722,0.008355008024750097
34,12:2E,04:20,1.8515128949051394,1.8669636,0.015450705094860684,0.008344908176106593
35,12:2E,04:20,1.8515128949051394,1.8587459,0.007233005094860578,0.003906537791210552
36,12:2E,04:20,1.8515128949051394,1.8714231,0.019910205094860522,0.010753479033091262
37,12:2E,04:20,1.8515128949051394,1.8689305,0.017417605094860678,0.00940722861978936
38,12:2E,04:20,1.8515128949051394,1.8453954,0.0061174949051394645,0.003304052011721414
39,12:2E,04:20,1.8515128949051394,1.8437418,0.007771094905139275,0.004197159483211387
40,12:2E,04:20,1.8515128949051394,1.8563815,0.004868605094860534,0.002629528051496489
41,12:2E,04:20,1.8515128949051394,1.8429295,0.008583394905139263,0.004635881785516285
42,12:2E,04:20,1.8515128949051394,1.8527068,0.0011939050948606145,0.0006448267782233206
43,12:2E,04:20,1.8515128949051394,1.8389413,0.012571594905139483,0.006789904050753899
44,12:2E,04:20,1.8515128949051394,1.843511,0.008001894905139473,0.004321814299624115
45,12:2E,04:20,1.8515128949051394,1.8359769,0.01553599490513946,0.008390973105232106
46,12:2E,04:20,1.8515128949051394,1.869123,0.017610105094860717,0.009511197649942888
47,12:2E,04:20,1.8515128949051394,1.8380352,0.013477694905139392,0.007279287625933553
48,12:2E,04:20,1.8515128949051394,1.8766195,0.025106605094860734,0.01356004873849234
49,12:2E,04:20,1.8515128949051394,1.8679597,0.016446805094860517,0.008882900648500834
50,12:2E,04:20,1.8515128949051394,1.8717173,0.020204405094860656,0.01091237611709737
51,12:2E,04:20,1.8515128949051394,1.8617924,0.01027950509486053,0.0055519489619256426
52,12:2E,04:20,1.8515128949051394,1.8629369,0.011424005094860634,0.006170092104838369
53,12:2E,04:20,1.8515128949051394,1.898632,0.047119105094860725,0.025448974848903134
54,12:2E,04:20,1.8515128949051394,1.8664827,0.014969805094860567,0.00808517463532304
55,12:2E,04:20,1.8515128949051394,1.8908942,0.0393813050948606,0.02126979790593263
56,12:2E,04:20,1.8515128949051394,1.8856597,0.034146805094860566,0.018442650434044125
57,12:2E,04:20,1.8515128949051394,1.870278,0.018765105094860735,0.010135011830863943
58,12:2E,04:20,1.8515128949051394,1.8726125,0.02109960509486064,0.011395872614725517
59,12:2E,04:20,1.8515128949051394,1.8630387,0.011525805094860564,0.006225074168576654
